begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
224,1,,,,,INTEGER,,,,,,,Bus_Voltage_Max_Since_Power_On
225,1,,,,,INTEGER,,,,,,,Bus_Voltage_Min_Since_Power_On
226,1,,,,,INTEGER,,,,,,,Bus_Voltage_Max_Over_Period
227,1,,,,,INTEGER,,,,,,,Bus_Voltage_Min_Over_Period
228,1,,,,,INTEGER,,,,,,,AC_Loss_1_Count_Requested
229,1,,,,,INTEGER,,,,,,,AC_Loss_2_Count_Requested
230,1,,,,,INTEGER,,,,,,,Pulse_Mgmt_Count_Req
232,1,,,,,INTEGER,,,,,,,Pulse_Mgmt_Count_Supported
234,1,,,,,INTEGER,,,,,,,Shelf_Location
235,1,,,,,FLOAT,,,0,,0.1,-273.15,Highest_Of_Temp1_To_Temp4
236,1,,,,,INTEGER,,,,,,,CAN BUS address
288,1,,,,,INTEGER,,,,,,,Variable_Modbus_Baud_Rate
289,1,,,,,INTEGER,,,,,,,Configurable_BBU_Maximum_Discharge_Time
290,1,,,,,INTEGER,,,,,,,Configurable_Power_Loss_Siren_Timing
291,1,,,,,INTEGER,,,,,,,Variable_Charge_Override_Current
293,1,,,,,INTEGER,,,,,,,Fan_Speed_Override
294,1,,,,,INTEGER,,,,,,,PCM_Recharge_Threshold_Override
295,1,,,,,INTEGER,,,,,,,Override_Random_Number_Of_SOH_Test
296,1,,,,,INTEGER,,,,,,,Override_Interval_Of_SOH_Test
298,2,,,,,INTEGER,,,,,,,SOH_Timestamp
300,2,,,,,INTEGER,,,,,,,Variable_Charge_Override_Timeout
304,1,,,,,INTEGER,,,,,,,EOL_Threshold_Override
305,1,,,,,INTEGER,,,,,,,Forced_Discharge_Time
306,1,,,,,INTEGER,,,,,,,System_Control_Mode
307,1,,,,,INTEGER,,,,,,,BBU_Shelf_Configuration
308,1,,,,,INTEGER,,,,,,,Forced_Detached_Mode_Timeout
310,1,,,,,INTEGER,,,,,,,PSU_Shelf_Output_Power
311,1,,,,,INTEGER,,,,,,,PSU_AC_OK
312,1,,,,,INTEGER,,,,,,,Charge_Delay_Time
313,1,,,,,FLAGS,,,,,,,BBU_Clear_Fault
,,,,0,Clear_BBU_Faults_And_Latch,,,,,,,,
