B4,GPIOU4,SCUA0[12]=1,RMII1RCLKI,Strap[6]=0,RGMII1RXCK,,
A4,GPIOU5,SCUA0[13]=1,-,Strap[6]=0,RGMII1RXCTL,,
A3,GPIOU6,SCUA0[14]=1,RMII1RXD0,Strap[6]=0,RGMII1RXD0,,
D6,GPIOU7,SCUA0[15]=1,RMII1RXD1,Strap[6]=0,RGMII1RXD1,,
C5,GPIOV0,SCUA0[16]=1,RMII1CRSDV,Strap[6]=0,RGMII1RXD2,,
C4,GPIOV1,SCUA0[17]=1,RMII1RXER,Strap[6]=0,RGMII1RXD3,,
C2,GPIOV2,SCUA0[18]=1,RMII2RCLKI,Strap[7]=0,RGMII2RXCK,,
C1,GPIOV3,SCUA0[19]=1,-,Strap[7]=0,RGMII2RXCTL,,
C3,GPIOV4,SCUA0[20]=1,RMII2RXD0,Strap[7]=0,RGMII2RXD0,,
D1,GPIOV5,SCUA0[21]=1,RMII2RXD1,Strap[7]=0,RGMII2RXD1,,
D2,GPIOV6,SCUA0[22]=1,RMII2CRSDV,Strap[7]=0,RGMII2RXD2,,
E6,GPIOV7,SCUA0[23]=1,RMII2RXER,Strap[7]=0,RGMII2RXD3,,
F4,GPIW0,SCUA0[24]=1,ADC0,,,,
F5,GPIW1,SCUA0[25]=1,ADC1,,,,
E2,GPIW2,SCUA0[26]=1,ADC2,,,,
E1,GPIW3,SCUA0[27]=1,ADC3,,,,
F3,GPIW4,SCUA0[28]=1,ADC4,,,,
E3,GPIW5,SCUA0[29]=1,ADC5,,,,
G5,GPIW6,SCUA0[30]=1,ADC6,,,,
G4,GPIW7,SCUA0[31]=1,ADC7,,,,
F2,GPIX0,SCUA4[0]=1,ADC8,,,,
G3,GPIX1,SCUA4[1]=1,ADC9,,,,
G2,GPIX2,SCUA4[2]=1,ADC10,,,,
F1,GPIX3,SCUA4[3]=1,ADC11,,,,
H5,GPIX4,SCUA4[4]=1,ADC12,,,,
G1,GPIX5,SCUA4[5]=1,ADC13,,,,
H3,GPIX6,SCUA4[6]=1,ADC14,,,,
H4,GPIX7,SCUA4[7]=1,ADC15,,,,
,,,,,,,
R22,SIOS3#,SCUA4[8]=1 | Strap[19]=1,-,SCU94[10]=1,GPIOY0,,
R21,SIOS5#,SCUA4[9]=1 | Strap[19]=1,-,SCU94[10]=1,GPIOY1,,
P22,SIOPWREQ#,SCUA4[10]=1 | Strap[19]=1,-,SCU94[11]=1,GPIOY2,,
P21,SIOONCTRL#,SCUA4[11]=1 | Strap[19]=1,-,SCU94[11]=1,GPIOY3,,
M18,SCL1,SCUA4[12]=1,GPIOY4,,,,
M19,SDA1,SCUA4[13]=1,GPIOY5,,,,
M20,SCL2,SCUA4[14]=1,GPIOY6,,,,
P20,SDA2,SCUA4[15]=1,GPIOY7,,,,
Y20,VPOG2,SCUA4[16]=1 & SCU94[1:0]!=0 & GFX064[7]=1,SIOPBI#,SCUA4[16]=1 | Strap[19]=1,NORA0,SCU90[31]=1,GPIOZ0
AB20,VPOG3,SCUA4[17]=1 & SCU94[1:0]!=0 & GFX064[7]=1,SIOPWRGD,SCUA4[17]=1 | Strap[19]=1,NORA1,SCU90[31]=1,GPIOZ1
